
 M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  M  L  L  L  L  L  L  L  L  M  
 M  M  M  M  M  M  M  M  M  M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  L  L  M 
 M  M  M  M  M  M  M  M  M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  M 
 M  M  M  M  M  M  M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  G  M 
 M  M  M  M  M  M  M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  G  G  M 
 M  M  M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  G  G  G  M 
 M  M  M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  L  G  G  G  M 
 M  M  M  M  M  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  L  G  G  M 
 *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  L  G  G  M 
 M  M  M  G  G  G  G  G  G  G  G  G  G  *  *  *  *  *  *  *  *  *  *  *  *  *  *  G  L  L  L  L  L  L  L  L  G  G  G  M 
 M  M  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  *  L  L  L  L  L  L  L  L  L  G  G  G  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  *  L  L  L  L  L  L  L  L  G  G  G  G  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  *  *  L  L  L  L  L  L  L  G  G  G  G  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  *  *  *  *  *  *  *  *  *  *  *  *  *  * 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  G  G  G  G  G  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  G  G  G  G  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  G  G  G  G  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  G  G  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  G  G  G  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  G  G  G  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  G  G  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  *  *  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  M  M  M  M  M  M  M  M  M 
 M  G  G  G  G  G  G  G  G  G  G  G  *  G  G  G  G  G  G  G  G  G  G  G  L  L  L  L  L  L  G  G  G  G  G  G  G  G  G  G
